gender,gender_value,age,university,degree_level,degree_major,academic_year,academic_value,cgpa,cgpa_value,residential_status,residental_value,campus_discrimination,campus_value,sports_engagement,sports_value,average_sleep,sleep_value,study_satisfaction,academic_workload ,academic_pressure,financial_concerns,social_relationships,depression,anxiety,isolation,future_insecurity,stress_relief_activities,Item1,Item2,Item3,Item4,Item5,Item6
Female,1,19,UET,Undergraduate,Computer Science,3rd year,3,2.5-3.0,4,Off-Campus,2,Yes,2,No Sports,1,4-6 hrs,1,Neutral,Very High,Very High,Very High,Medium,High,Medium,Medium,High,"Social Connections, Sleep",Social Connections,Sleep,,,,
Male,2,22,PU,Undergraduate,Information Technology,4th year,4,3.0-3.5,5,Off-Campus,2,No,1,4-6 times,3,4-6 hrs,1,Very Satisfied,Medium,Medium,Medium,High,Low,Low,Low,High,"Social Connections, Outdoor Activities",Social Connections,Outdoor Activities,,,,
Male,2,22,PU,Undergraduate,Information Technology,4th year,4,3.0-3.5,5,Off-Campus,2,Yes,2,No Sports,1,4-6 hrs,1,Very Satisfied,High,Low,Very High,Very Low,Very High,Very High,Very High,Medium,"Religious Activities, Sports and Fitness, Online Entertainment",Religious Activities,Sports and Fitness,Online Entertainment,,,
Female,1,21,PU,Undergraduate,Information Technology,4th year,4,3.5-4.0,6,Off-Campus,2,Yes,2,No Sports,1,7-8 hrs,3,Neutral,Medium,Medium,Medium,Medium,Very High,Very High,Very High,Very Low,Sleep,Sleep,,,,,
Female,1,21,PU,Undergraduate,Information Technology,4th year,4,3.0-3.5,5,Off-Campus,2,No,1,No Sports,1,7-8 hrs,3,Neutral,High,High,Medium,High,High,High,Low,High,"Online Entertainment, Sleep",Online Entertainment,Sleep,,,,
Male,2,22,PU,Undergraduate,Information Technology,4th year,4,2.5-3.0,4,Off-Campus,2,No,1,No Sports,1,7-8 hrs,3,Very Dissatisfied,Low,Low,Very Low,Low,Low,Low,Very High,Low,Religious Activities,Religious Activities,,,,,
Male,2,22,PU,Undergraduate,Information Technology,4th year,4,3.0-3.5,5,On-Campus,1,No,1,No Sports,1,7-8 hrs,3,Satisfied,Medium,Very Low,High,High,Low,Medium,Very Low,Low,"Online Entertainment, Outdoor Activities, Sleep",Online Entertainment,Outdoor Activities,Sleep,,,
Female,1,22,COMSATS,Undergraduate,Software Engineering,4th year,4,3.5-4.0,6,Off-Campus,2,Yes,2,No Sports,1,2-4 hrs,2,Very Satisfied,Very High,Very High,Very High,Very Low,Very High,Very High,Very High,Very High,"Religious Activities, Sleep",Religious Activities,Sleep,,,,
Male,2,21,PU,Undergraduate,Data Science,2nd year,2,2.0-2.5,3,Off-Campus,2,No,1,No Sports,1,4-6 hrs,1,Very Satisfied,High,Low,High,Medium,Very Low,Low,Very Low,Very Low,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities, Sleep",Religious Activities,Sports and Fitness,Social Connections,Online Entertainment,Outdoor Activities,Sleep
Male,2,22,PU,Undergraduate,Data Science,2nd year,2,2.5-3.0,4,Off-Campus,2,No,1,No Sports,1,4-6 hrs,1,Neutral,Medium,Medium,Medium,Low,Medium,High,High,Very High,Sleep,Sleep,,,,,
Female,1,19,PU,Undergraduate,Data Science,2nd year,2,3.5-4.0,6,On-Campus,1,No,1,4-6 times,3,4-6 hrs,1,Satisfied,High,High,Medium,High,Low,Low,Very Low,Medium,Sports and Fitness,Sports and Fitness,,,,,
